id,date,source,headline,category,party_mentioned,reported_sentiment,factual_accuracy_rating,bias_score
36,2026-05-12,The Capital Post,Opposition says transport policy fails commuters and struggles with execution,Infrastructure,INC,Pro-Opposition,3,-0.75
37,2026-05-13,The Global Times (Hypothetical),Government presents new tax reform bill,Economy,BJP,Neutral,5,0.0
38,2026-05-13,The Global Times (Hypothetical),Government achieves economic boost with bold tax reforms,Economy,BJP,Pro-Ruling,4,0.9
39,2026-05-13,The Global Times (Hypothetical),Opposition alleges tax reforms fail middle class and benefit corporations,Economy,INC,Pro-Opposition,2,-0.9
40,2026-05-14,Daily Bharat,Government releases new digital governance policy,Technology,BJP,Neutral,5,0.0
41,2026-05-14,Daily Bharat,Government achieves digital transformation success with governance reforms,Technology,BJP,Pro-Ruling,4,0.85
42,2026-05-14,Daily Bharat,Opposition claims digital policy fails citizens and allegedly increases surveillance,Technology,INC,Pro-Opposition,2,-0.85
43,2026-05-15,The Capital Post,Government announces new industrial policy,Economy,BJP,Neutral,5,0.0
44,2026-05-15,The Capital Post,Government achieves industrial boom with strategic policy reforms,Economy,BJP,Pro-Ruling,4,0.9
45,2026-05-15,The Capital Post,Opposition alleges industrial policy fails small businesses and favors big corporates,Economy,INC,Pro-Opposition,2,-0.9
46,2026-05-16,The Global Times (Hypothetical),Government introduces new public safety law,Politics,BJP,Neutral,5,0.0
47,2026-05-16,The Global Times (Hypothetical),Government achieves stronger law enforcement with new safety legislation,Politics,BJP,Pro-Ruling,4,0.85
48,2026-05-16,The Global Times (Hypothetical),Opposition claims safety law fails civil liberties and allegedly increases misuse,Politics,INC,Pro-Opposition,2,-0.85
49,2026-05-17,Daily Bharat,Government announces new rural development scheme,Infrastructure,BJP,Neutral,5,0.0
50,2026-05-17,Daily Bharat,Government achieves rural transformation with ambitious development scheme,Infrastructure,BJP,Pro-Ruling,4,0.9
51,2026-05-17,Daily Bharat,Opposition alleges rural scheme fails villages and struggles with corruption,Infrastructure,INC,Pro-Opposition,3,-0.8
52,2026-05-18,The Capital Post,Government releases new education reform plan,Education,BJP,Neutral,5,0.0
53,2026-05-18,The Capital Post,Government achieves education revolution with bold reform plan,Education,BJP,Pro-Ruling,4,0.9
54,2026-05-18,The Capital Post,Opposition claims education reforms fail students and allegedly ignore teachers,Education,INC,Pro-Opposition,2,-0.9
55,2026-05-19,The Global Times (Hypothetical),Government announces new healthcare expansion plan,Healthcare,BJP,Neutral,5,0.0
56,2026-05-19,The Global Times (Hypothetical),Government achieves universal care milestone with healthcare expansion,Healthcare,BJP,Pro-Ruling,4,0.9
57,2026-05-19,The Global Times (Hypothetical),Opposition alleges healthcare plan fails patients and struggles with funding gaps,Healthcare,INC,Pro-Opposition,3,-0.85
58,2026-05-20,Daily Bharat,Government presents new foreign policy strategy,Politics,BJP,Neutral,5,0.0
59,2026-05-20,Daily Bharat,Government achieves global recognition with strong foreign policy stance,Politics,BJP,Pro-Ruling,4,0.85
60,2026-05-20,Daily Bharat,Opposition claims foreign policy fails diplomacy and isolates the nation,Politics,INC,Pro-Opposition,2,-0.9
